2209051055,"x=2,y=1,z=0","x=906,y=13228,z=15281","x=232,y=-51,z=-88",954.88,33.3,73.61,0.02,258,8.31,2
2209051912,"x=1,y=-1,z=0","x=704,y=13541,z=15199","x=190,y=-11,z=-101",953.9,33.02,60.39,0.02,256,22.87,2
2209051916,"x=0,y=-1,z=0","x=692,y=13558,z=15306","x=188,y=-11,z=-102",954.91,32.36,59.07,0.03,257,23.47,29739
2209051918,"x=1,y=0,z=0","x=685,y=13533,z=15319","x=191,y=-8,z=-99",955.35,32.1,58.77,0.03,256,23.81,29967
2209051922,"x=1,y=0,z=0","x=708,y=13578,z=15362","x=193,y=-7,z=-98",955.79,31.82,62.99,0.02,256,23.4,30006
2209052137,"x=3,y=-5,z=2","x=-1279,y=13453,z=15156","x=17,y=128,z=-125",958.95,30.33,76.46,0.02,255,19.3,28399
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052141,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052142,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052142,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052142,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052142,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
2209052142,"x=1,y=1,z=-3","x=-1268,y=13410,z=15145","x=18,y=127,z=-122",957.32,31.38,75.45,0.02,256,20.95,29799
